region,poverty_percent,income_per_capita,grp_per_capita,retail_turnover_per_capita,year,workers_percent,disabled_total,births,morbidity_rate_2020,несовершеннолетние,ранее_совершавшие,ранее_судимые,группа_лиц,группа_лиц_предварительный_сговор,организованная_группа,преступное_сообщество,в_состоянии_опьянения_всего,алкогольное_опьянение,наркотическое_опьянение,housing_satisfied_pct,housing_area_total_per_person,housing_area_living_per_person,housing_rooms_per_household,welfare_expense_share,poor_total_pct,poor_children_pct,poor_working_pct,poor_pensioners_pct,population_2020,child_mortality_total_2020
Костромская область,12.5,25780.0,323951.6,179587.0,2020,85.62,58746.0,5401.0,78477.99,158.0,3162.0,1716.0,12.0,379.0,15.0,0.0,1885.0,23.0,0.0,80.7,21.7,14.5,2.2,22.5,100.0,39.9,53.5,6.6,633385.0,42.0
Краснодарский край,10.4,36838.0,460720.2,261857.0,2020,89.22,431051.0,59234.0,72743.12,936.0,18776.0,10268.0,97.0,2523.0,149.0,7.0,6290.0,119.0,3.0,78.4,26.9,18.1,2.8,25.7,100.0,39.3,53.8,6.9,5675462.0,230.0
Красноярский край,17.0,32832.0,951613.7,196888.0,2020,85.46,181468.0,28985.0,81755.55,1006.0,17372.0,8506.0,85.0,1406.0,312.0,1.0,8649.0,128.0,2.0,83.3,22.7,16.6,2.3,24.8,100.0,35.8,59.4,4.8,2866255.0,153.0
Курганская область,19.3,21860.0,294464.0,147332.0,2020,81.68,72664.0,7429.0,96723.76,399.0,6529.0,3181.0,20.0,737.0,299.0,11.0,3807.0,188.0,12.0,85.6,23.0,16.7,2.4,26.1,100.0,39.4,58.2,2.4,827166.0,46.0
Курская область,9.9,29786.0,487030.7,207134.0,2020,79.08,119153.0,9111.0,51967.06,305.0,4919.0,3045.0,8.0,615.0,44.0,84.0,2572.0,60.0,1.0,85.0,24.4,17.1,2.4,23.2,100.0,34.2,59.2,6.5,1104008.0,42.0
Ленинградская область,8.7,33149.0,661328.6,255646.0,2020,87.08,134703.0,13267.0,65376.69,309.0,4600.0,2557.0,52.0,694.0,26.0,15.0,2842.0,81.0,1.0,79.8,24.7,17.0,2.1,16.7,100.0,0.0,0.0,0.0,1875872.0,52.0
Липецкая область,8.4,32226.0,546151.3,236552.0,2020,96.06,115828.0,9389.0,65660.75,242.0,4318.0,2024.0,16.0,370.0,28.0,55.0,2036.0,21.0,0.0,82.5,24.5,16.5,2.5,22.3,100.0,40.0,59.3,0.8,1139371.0,35.0
Магаданская область,8.7,70864.0,2035007.0,245817.0,2020,100.0,5001.0,1314.0,62891.99,59.0,932.0,512.0,12.0,43.0,24.0,12.0,592.0,7.0,0.0,80.3,23.7,13.8,1.9,11.1,100.0,45.8,54.2,0.0,140149.0,4.0
Москва,6.0,77283.0,1567644.8,408674.0,2020,100.0,1009535.0,123520.0,63570.09,480.0,16228.0,9037.0,103.0,4090.0,4599.0,151.0,6614.0,891.0,5.0,75.6,21.4,13.8,2.0,17.5,100.0,38.4,48.5,13.2,12678079.0,450.0
Московская область,6.8,47046.0,683845.1,347566.0,2020,85.84,418709.0,79105.0,75775.21,767.0,21162.0,14852.0,262.0,3455.0,481.0,17.0,9491.0,714.0,0.0,77.8,22.3,14.8,2.1,19.4,100.0,49.9,44.4,5.7,7690863.0,246.0
Мурманская область,10.1,46355.0,1072337.1,242844.0,2020,85.06,28499.0,6481.0,90375.6,263.0,3770.0,2114.0,12.0,218.0,22.0,2.0,1663.0,14.0,1.0,83.6,23.9,17.7,2.2,22.8,100.0,43.7,55.8,0.4,741404.0,25.0
Нижегородская область,9.4,33645.0,497418.6,237008.0,2020,93.74,285434.0,27646.0,100160.09,828.0,12512.0,7412.0,44.0,2153.0,242.0,11.0,6824.0,195.0,1.0,80.8,24.0,17.5,2.3,22.2,100.0,31.7,64.5,3.8,3202946.0,128.0
Новгородская область,13.6,26268.0,471333.3,204547.0,2020,90.96,56679.0,4885.0,92751.81,358.0,5395.0,3045.0,26.0,565.0,87.0,9.0,2950.0,57.0,0.0,86.3,25.6,17.6,2.3,25.3,100.0,40.1,58.6,1.3,596508.0,20.0
Новосибирская область,13.8,31563.0,485981.4,197028.0,2020,87.42,183298.0,28862.0,80298.1,1075.0,12547.0,7612.0,34.0,1443.0,260.0,36.0,5122.0,169.0,2.0,78.6,23.2,16.3,2.3,25.4,100.0,34.1,61.5,4.4,2798170.0,164.0
Омская область,13.6,27354.0,398641.0,185769.0,2020,86.6,125820.0,17800.0,96597.5,275.0,9928.0,5587.0,59.0,736.0,104.0,0.0,4508.0,59.0,2.0,84.6,23.4,16.9,2.5,29.0,100.0,38.8,56.2,5.1,1926665.0,105.0
Оренбургская область,14.0,24719.0,538971.9,169416.0,2020,78.82,186888.0,18780.0,74796.21,500.0,10617.0,6455.0,56.0,1856.0,444.0,13.0,5587.0,132.0,0.0,80.2,25.9,19.0,2.8,26.6,100.0,42.8,53.9,3.3,1956835.0,69.0
Орловская область,12.9,26843.0,390170.2,194977.0,2020,71.54,60633.0,5734.0,100961.51,122.0,2415.0,1293.0,16.0,300.0,20.0,87.0,1163.0,20.0,0.0,83.4,29.2,18.8,2.7,25.0,100.0,41.5,50.5,8.0,733498.0,33.0
Пензенская область,13.0,24118.0,379820.4,171267.0,2020,87.1,95886.0,9663.0,66896.12,214.0,5192.0,2826.0,31.0,561.0,45.0,16.0,3184.0,26.0,0.0,82.9,23.4,16.9,2.5,22.4,100.0,32.7,54.5,12.8,1305563.0,43.0
Пермский край,13.3,30215.0,541930.2,214162.0,2020,80.72,200755.0,25527.0,96916.46,958.0,13730.0,8444.0,94.0,1521.0,358.0,30.0,7991.0,132.0,2.0,84.6,22.7,16.0,2.4,23.0,100.0,41.5,54.8,3.7,2599260.0,119.0
Приморский край,13.0,37304.0,582950.7,230378.0,2020,94.28,108526.0,18060.0,76039.2,643.0,10360.0,5564.0,81.0,683.0,70.0,9.0,4875.0,141.0,0.0,79.0,22.4,15.7,2.2,23.5,100.0,49.6,46.2,4.2,1895868.0,95.0
Псковская область,16.2,26436.0,325659.6,200916.0,2020,81.06,47543.0,4995.0,73978.84,198.0,3192.0,1823.0,7.0,554.0,125.0,299.0,1762.0,15.0,0.0,79.2,23.0,15.0,2.1,24.7,100.0,29.6,61.0,9.3,626115.0,20.0
Республика Адыгея,12.5,30293.0,309184.1,231447.0,2020,60.16,33024.0,4418.0,70951.56,76.0,1656.0,679.0,2.0,180.0,49.0,0.0,605.0,20.0,0.0,67.2,27.0,19.6,3.1,20.2,100.0,44.6,50.1,5.4,463088.0,14.0
Республика Алтай,23.8,21677.0,283451.4,135351.0,2020,72.66,21311.0,2955.0,91247.05,125.0,2326.0,1123.0,1.0,123.0,10.0,0.0,1529.0,2.0,0.0,86.5,19.5,14.4,2.4,19.8,100.0,44.5,52.6,2.9,220181.0,22.0
Республика Башкортостан,11.6,30249.0,425161.0,226691.0,2020,78.3,250002.0,41177.0,84063.0,982.0,17067.0,10120.0,78.0,1228.0,169.0,21.0,11372.0,113.0,6.0,77.4,23.3,17.4,2.4,22.4,100.0,40.1,55.4,4.5,4038151.0,238.0
Республика Бурятия,19.9,26092.0,307558.8,199747.0,2020,69.94,74897.0,12620.0,62831.38,646.0,7394.0,3310.0,29.0,425.0,116.0,58.0,4917.0,102.0,0.0,77.3,22.7,17.2,2.4,25.5,100.0,41.7,54.6,3.7,985937.0,69.0
Республика Дагестан,14.8,27661.0,239640.7,188325.0,2020,62.02,304003.0,46506.0,77445.07,212.0,4629.0,2102.0,37.0,559.0,183.0,22.0,757.0,17.0,0.0,73.8,29.9,22.5,3.6,28.3,100.0,38.3,56.7,5.0,3110858.0,317.0
Республика Ингушетия,30.0,16877.0,142199.7,50713.0,2020,86.0,57520.0,8463.0,98454.45,26.0,305.0,205.0,13.0,58.0,12.0,8.0,91.0,34.0,0.0,94.4,38.2,27.8,4.9,32.5,100.0,38.1,51.3,10.6,507061.0,47.0
